"cutoff","number1","number2","p","HR"
"46",52,44,3.1e-08,33.21
"48",50,46,5.9e-09,36.44
"50",48,48,7.8e-09,19.49
"52",46,50,3.9e-07,9.21
"54",44,52,1e-07,9.95
"56",42,54,9.6e-09,11.25
"58",40,56,2.9e-07,7.26
"60",38,58,2.1e-07,6.78
"62",37,59,1e-06,5.83
"64",35,61,1e-07,6.58
"66",33,63,1.2e-07,6.19
"68",31,65,1.7e-07,5.85
"70",29,67,4.7e-09,6.85
"72",27,69,2.8e-10,7.69
"74",25,71,4.5e-09,6.51
"76",23,73,2.8e-11,7.84
"78",21,75,3.7e-09,6.39
"80",19,77,5e-09,6.29
"82",18,78,5.4e-10,6.88
"84",16,80,1.6e-07,5.47
"86",14,82,1.4e-08,6.2
"88",12,84,4.4e-09,6.64
